"Price","Boat Type","Manufacturer","Type","Year Built","Length","Width","Size of Boat","Material","Country","Address","Number of views last 7 days","Popularity of Boat"
"EUR 61713","Bowrider","Regal power boats","new boat from stock,Unleaded","2021","6.1","2.5","Small boat","GRP","Germany "," Lake Constance Â» Lindau/Bodensee","110","Unpopular boat"
"CHF 84329","Sport Boat","Regal power boats","new boat from stock,Unleaded","2021","6.4","2.5","Small boat","GRP","Switzerland "," Lake of Zurich Â» Altendorf ","128","Unpopular boat"
"CHF 96856","Sport Boat","Regal power boats","new boat from stock,Unleaded","2021","6.25","2.5","Small boat","GRP","Switzerland "," Lake of Zurich Â» Altendorf ","218","Popular boat"
"CHF 125500","Sport Boat","Cobalt power boats","new boat on order,Unleaded","2021","7.21","2.59","Small boat","GRP","Switzerland "," Lago Maggiore Â» Riazzino ","258","Popular boat"
"CHF 102168","Bowrider","Chaparral power boats","new boat on order,Unleaded","2021","7.01","2.59","Small boat","GRP","Switzerland "," Lake Constance Â» Gottlieben ","312","Popular boat"
"CHF 72700","Bowrider","Tahoe power boats","new boat on order,Unleaded","2021","6.4","2.55","Small boat","GRP","Switzerland "," Lake of Zurich Â» Horgen","205","Popular boat"
"CHF 151285","Sport Boat","Regal power boats","new boat from stock,Unleaded","2021","8.0","2.6","Small boat","GRP","Switzerland "," Lake of Zurich Â» Altendorf ","205","Popular boat"
"EUR 390930","Cabin Boat","Sea Ray power boats","new boat on order,Unleaded","2021","9.86","3.25","Small boat","GRP","Germany "," Baden-WÃ¼rttemberg Â» Allensbach am Bodensee","316","Popular boat"
"EUR 335000","Flybridge","Baikal power boats","new boat on order,Diesel","2021","14.5","4.6","Big boat","GRP","Germany "," Deutschland","209","Popular boat"
"EUR 143819","Cabin Boat","Regal power boats","new boat from stock,Unleaded","2021","7.9","2.5","Small boat","GRP","Germany "," Lake Constance Â» Lindau/Bodensee","132","Unpopular boat"
"CHF 332024","Sport Boat","Regal power boats","new boat from stock,Unleaded","2021","10.34","3.2","Small boat","GRP","Switzerland "," Lake of Zurich Â» Altendorf ","520","Popular boat"
"EUR 429111","Motor Yacht","Sessa power boats","new boat from stock,Diesel","2021","11.5","3.75","Small boat","GRP","Switzerland "," VierwaldstÃ¤ttersee Â» Alpnachstad","209","Popular boat"
"EUR 142900","Cabin Boat","Sea Ray power boats","new boat on order","2021","8.1","2.56","Small boat","GRP","Germany "," Boote Pfister GmbH Schwebheim / Schweinfurt","75","Unpopular boat"
"EUR 550000","House Boat","Baikal power boats","new boat on order,Diesel","2021","18.0","8.0","Big boat","Steel","Russian Federation "," Moskau","464","Popular boat"
"EUR 141900","Cabin Boat","Sea Ray power boats","new boat on order,Unleaded","2021","8.1","2.56","Small boat","GRP","Germany "," Boote Pfister GmbH Schwebheim / Schweinfurt","101","Unpopular boat"
"EUR 586000","Flybridge","Baikal power boats","new boat on order,Diesel","2021","17.8","5.14","Big boat","GRP","Germany "," Deutschland","192","Popular boat"
"Â£ 1418886","Hardtop","Sunseeker power boats","new boat from stock,Diesel","2021","18.24","4.7","Big boat","GRP","Switzerland "," Poole / GB ","351","Popular boat"
"EUR 1250000","Motor Yacht","Baikal power boats","new boat on order,Diesel","2021","19.9","9.0","Big boat","Steel","Russian Federation "," Moskau","398","Popular boat"
"EUR 1200000","Catamaran","Baikal power boats","new boat on order,Diesel","2021","16.0","7.0","Big boat","Steel","Russian Federation "," Moaskau","311","Popular boat"
"EUR 18300","Classic","WeiBo power boats","new boat from stock","2021","6.0","1.65","Small boat","Wood","Switzerland "," Lake Constance Â» Wagenhausen","129","Unpopular boat"
"CHF 75831","Sport Boat","Regal power boats","new boat from stock,Unleaded","2021","6.2","2.6","Small boat","GRP","Switzerland "," Lake of Zurich Â» Altendorf ","254","Popular boat"
